file_id,file_name,content,uploaded_at
1,Program_1.txt,,"23-10-2024 10:08"
2,Program_2.txt,"num = 8
num_sqrt = num ** 0.5
print('The square root of %0.3f is %0.3f'%(num ,num_sqrt))","23-10-2024 10:08"
3,Program_3.txt,"def add_two_numbers(num1, num2):
    sum = num1 + num2
    return sum
    print(add_two_numbers(4,5))","23-10-2024 10:08"
4,Program_4.txt,"num1 = 10
num2 = 12
num3 = 14
if (num1 >= num2) and (num1 >= num3):
   largest = num1
elif (num2 >= num1) and (num2 >= num3):
   largest = num2
else:
   largest = num3
print(f'largest:{largest}')","23-10-2024 10:08"
5,Program_5.txt,"num1 = 10
num2 = 12
num3 = 14
if (num1 <= num2) and (num1 <= num3):
   smallest = num1
elif (num2 <= num1) and (num2 <= num3):
   smallest = num2
else:
   smallest = num3
print(f'smallest:{smallest}')","23-10-2024 10:08"
6,Program_6.txt,"def merge_lists(l1, l2):
    return l1 + l2","23-10-2024 10:08"
7,Program_7.txt,"num = 337
if num > 1:
   for i in range(2, num//2 + 1):
       if (num % i) == 0:
           print(num,is not a prime number"")""",
8,Program_8.txt,"def print_factors(x):
   print(fThe factors of {x} are:)""",
9,Program_9.txt,"num = 13
factorial = 1
if num < 0:
   print(No factorials for negative numbers!"")""",
    10,Program_10.txt,"def check_pnz(num):
        if num > 0:
           print(Positive number)""",
11,Program_11.txt,"num = 9
for i in range(1, 11):
   print(f{num} x {i} = {num*i})""""","23-10-2024 10:08"
12,Program_12.txt,"def two_power(terms):
    result = list(map(lambda x: 2 ** x, range(terms)))
    print(fThe total terms are: {terms})""",
13,Program_13.txt,"my_list = [11, 45, 74, 89, 132, 239, 721, 21]
num = 3
result = list(filter(lambda x: (x % num == 0), my_list))
print(fNumbers divisible by {num} are {result})""""","23-10-2024 10:08"
14,Program_14.txt,"def sum_natural(num):
    if num < 0:
       print(Please enter a positive number!)""",
15,Program_15.txt,"my_list = [1, 2, 3, 4, 5, 6]
my_list[0], my_list[-1] = my_list[-1], my_list[0]","23-10-2024 10:08"
16,Program_16.txt,"def findArea(r): 
    PI = 3.142
    return PI * (r*r)","23-10-2024 10:08"
17,Program_17.txt,"n = 21
sum_n = 0
for i in range(1, n+1):
    sum_n += i**2
print(sum_n)","23-10-2024 10:08"
18,Program_18.txt,"my_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print(len(my_list))","23-10-2024 10:08"
19,Program_19.txt,"my_tuple = (1, 2, 3, 4, 5, 6, 7, 8)
print(len(my_tuple))","23-10-2024 10:08"
20,Program_20.txt,"def custom_print(l):
    for _ in l:
        print(_)","23-10-2024 10:08"
21,Program_21.txt,"def remove_odd(my_list):
    result = list(filter(lambda x: (x % 2 == 0), my_list))
    return result","23-10-2024 10:08"
22,Program_22.txt,"def remove_even(my_list):
    result = list(filter(lambda x: (x % 2 != 0), my_list))
    return result","23-10-2024 10:08"
23,Program_23.txt,"def zip_list(list1, list2):
    return list(zip(list1, list2))","23-10-2024 10:08"
24,Program_24.txt,"file_name = 'temp.txt'
with open(file_name, 'r') as f:
    print(f.read())","23-10-2024 10:08"
25,Program_25.txt,"def lcm(a, b):
    if a>b:
        min_ = a
    else:
        min_ = b
    while True:
        if min_%a==0 and min_%b==0:
            break
        min_+=1
    return min_","23-10-2024 10:08"
26,Program_26.txt,"my_list = [1, 2, 4, 5, 2, 3, 1, 5, 4, 7, 8, 2, 4, 5, 2, 7, 3]
print(set(my_list))","23-10-2024 10:08"
